dv_dt,x,t,v
0.190215349,2.06997585,14.8509703,0.316240966
0.290832967,1.9903065,32.0064011,-0.228966191
0.365173191,1.9096688,19.9959984,-0.0404729657
-0.19658199,2.43142104,11.7063417,-0.300154507
-0.0493998192,2.32342219,24.7009411,-0.363929093
-0.292404622,2.56753302,28.8777752,0.225516945
-0.149197489,2.41885638,18.1316261,-0.334057122
-0.375062317,2.32658219,4.72894573,-0.0294702798
-0.0829460248,2.36309028,34.4868965,0.357419074
0.234330475,1.02796078,0.784156859,0.102082372
0.193308547,1.40023637,2.11242247,0.448405027
0.120067857,2.12352133,12.6025209,-0.337169796
0.00782383233,2.25837731,15.3870773,0.370747387
-0.193737447,2.47155833,34.8069611,0.312933832
-0.398537934,2.32085419,4.46489286,0.0732204616
0.249162242,2.0023222,13.0026007,-0.262801141
-0.333098561,2.5415349,10.2020407,0.189815298
0.352311164,1.77774608,7.4574914,0.00863313209
0.342302471,1.79837489,7.77755547,0.120446041
-0.339444995,2.61812901,23.6287251,-0.133781701
-0.36717844,2.64461493,35.8071632,0.00482924469
0.109148905,2.16792011,21.3882771,0.350585997
0.284323186,1.09775519,1.22424483,0.218696713
-0.20143722,2.43620062,11.6903381,-0.296971798
0.168818206,2.00530195,8.61772346,0.347942173
0.164579615,2.0815146,12.730546,-0.318886191
-0.233125672,2.50990224,34.9349861,0.285390437
-0.361231118,2.62724471,16.755352,0.0813836828
-0.385676086,2.32765818,4.64092827,0.0041608382
-0.365723699,2.58928657,10.8501701,-0.0453634746
-0.353279531,2.57980061,10.9861975,-0.0943109021
0.0992925912,2.16468668,15.1310263,0.3569327
0.350335509,1.77781749,7.4014802,-0.0110312942
0.00645640446,2.26766849,24.8529701,-0.367267191
0.0986857936,2.08420229,8.83376694,0.377060264
0.322753876,1.95426035,19.5959187,-0.180251256
0.104120724,2.07815886,8.81776333,0.375431687
0.192726091,1.89707804,6.569314,-0.253186882
-0.210175276,2.48550558,22.2924576,0.302531958
0.26284048,1.84067523,6.81736326,-0.196354493
-0.0778547823,2.35778332,28.1896381,0.358655721
0.296655387,1.98411095,25.7491493,-0.221050054
-0.234015197,2.43578672,9.78595734,0.309653759
-0.220199734,2.02223587,3.37667537,0.44509235
-0.0855347887,2.28212881,9.34586906,0.380931765
-0.269733489,2.54317141,22.5004997,0.252863675
0.10017705,2.17601132,31.3902779,-0.353923261
0.286358774,1.13236582,1.36827362,0.259989262
-0.105777912,2.30320787,9.40188026,0.37557137
0.050182648,2.1902287,12.4104824,-0.353920549
-0.0797100961,2.11970973,5.80916166,-0.299019873
0.0458259434,2.23476148,34.1348267,0.363980263
0.175320834,2.07142401,12.7625523,-0.313468099
0.027227629,2.24707389,24.9089813,-0.36636427
-0.316043437,2.59088588,28.9897976,0.191423208
0.364401817,1.91460109,26.2452488,-0.0543444343
-0.33663702,2.61150932,29.1098213,0.152325556
0.000418395764,2.05421281,6.02520514,-0.307475746
0.219952762,1.02120447,0.712142408,0.0857224613
-0.350939691,2.56197,10.3220644,0.148683414
-0.0945399851,2.3745153,34.5189056,0.354596496
0.0912729278,2.15088844,12.5225048,-0.345745236
0.284659833,1.87052858,8.16963387,0.244572982
0.346853137,1.92961156,19.7559509,-0.126503289
0.363236547,1.91198349,19.9479904,-0.0579961464
0.307576686,1.94678771,14.3788757,0.196663722
-0.323835462,2.60384035,30.0140038,-0.167849392
0.358608186,1.91683352,26.581316,0.0683007911
-0.00609982107,2.24463749,12.2584515,-0.357643276
0.24297075,1.03313303,0.832166433,0.113541439
-0.371574372,2.59210968,10.7221441,0.0019221328
-0.360886097,2.63696408,35.6151237,0.0745644122
0.228665069,1.86800075,6.68933773,-0.227863654
-0.10071411,2.37511563,24.5569115,-0.353121638
0.170407146,2.10761809,31.5903187,-0.326801598
0.300111353,1.85189569,8.08961773,0.221192256
0.251304835,2.02440238,33.4866982,0.264402777
0.0652867705,1.0003432,0.17603521,0.00582930911
0.269780815,1.059582,1.02420485,0.16299656
0.221208841,2.0284543,12.9065809,-0.285112917
0.279943675,1.99440837,27.0854168,0.232904524
-0.364677906,2.64094567,29.3978786,0.051024124
-0.27905488,2.54309201,16.2512493,0.24603571
-0.225717962,2.50355482,30.4460888,-0.288523525
-0.174961179,2.44508386,18.0516109,-0.321083486
-0.348864615,2.55954313,10.3060608,0.154284045
-0.371050686,2.58807039,10.5781155,0.055577904
-0.335043132,2.18181658,3.7847569,0.329758644
0.271448463,1.06222332,1.04020798,0.167329773
-0.243481025,2.05371594,3.4486897,0.428083241
-0.336807281,2.18443966,3.79275846,0.327092201
0.324177772,1.952824,19.60392,-0.177659586
0.246693432,1.91548562,8.33766747,0.289318442
0.0544546507,2.22605848,34.1108208,0.362797052
-0.26661694,2.26608419,5.24104834,-0.198019564
0.211244121,1.01794672,0.672134399,0.077101469
-0.269170403,2.5471108,23.9967995,-0.247087345
-0.351197869,2.62641239,29.2218437,0.11392653
-0.0884387493,2.2851584,9.35387039,0.380235255
-0.165374577,1.94826162,3.21664333,0.476790369
0.23840636,2.0415678,31.8063622,-0.282204926
-0.0845418498,1.83779848,2.99259853,0.505366325
-0.366258919,2.58963799,10.8421688,-0.0424347483
0.358572572,1.9139117,20.2920589,0.0675479248
-0.151173487,1.92903101,3.17663527,0.483304977
0.193671495,2.05421829,12.8185635,-0.303200454
0.100862093,2.17466664,25.1090221,-0.353659838
0.18421115,1.01057017,0.560112,0.0549362861
-0.100463763,2.36701775,15.6831369,0.357051343
-0.017508639,2.06889224,5.97719526,-0.307102621
0.222225592,2.05126667,21.0282059,0.290245354
0.047987096,2.23222661,27.8455696,0.363803625
0.162614867,1.00673306,0.480096012,0.0410600752
0.175794318,1.00890148,0.528105617,0.049179595
0.103651486,2.17355418,21.4042816,0.352294505
-0.304146588,2.53571796,11.2902584,-0.194777057
